course name,course description
Acquisition & Management of Data,"This course will focus on the data management techniques frequently used as a precursor to analysis with ‘real world data’. Topics include database structures, SQL, data cleaning, merging and filtering, detecting and correcting errors. The course will also cover the application of visualization to developing and telling stories with data with data visualization techniques."
AI Ethics & Policy,"This course explores the profound implications of AI on business and society. The ethical and policy issues linked with the application of AI in business are covered in-depth, including such issues as overcoming the job displacement due to AI by job creation, ensuring the public good as AI pervades the new economy, and balancing privacy and transparency in AI related endeavors."
Analytical Decision Making,"Good managerial decisions depend on an understanding not only of the problem structure, parameters, and constraints, but also of the organizational context in which the decision will be implemented. In this course, we will explore the use of a variety of analytical methods to assist in the mechanics of problem solving and case studies and illustrations to illuminate contextual issues. The general approach we will follow will be to construct an analytical representation of the problem, called a model. This model will be manipulated, or ""solved"", to identify the decision that yields the ""best"" outcome. Finally, the model results are applied back to the original managerial problem, or implemented. In this course, we shall concentrate on the processes of problem recognition, model formulation, and interpretation of the model results and implementation. We will not focus on algorithmic details of specific model solution, but rather will use pre-tested computer routines in most cases. The intention of the course is to help you become a perceptive and critical user of quantitative models in an organization. Decision models can be divided into two main categories: those that assume that the variables within, and outcomes from, a decision problem are known with certainty (called deterministic models), and those which introduce elements of uncertainty or risk (called stochastic models). We will examine models from each of these categories, chosen on the basis of degree of use in current practice. Case studies will help in developing facility with model formulation and interpretation of results, and will aid development of an intuition about effective use of modeling. The phenomenal power for problem analysis provided by modern spreadsheets will be exploited in the course, using EXCEL and EXCEL Add-Ins (@RISK and Precision Tree)."
Analytics for Financial Markets,"This course provides a comprehensive overview of modern financial analytics. Topics will include traditional models such as: the CAPM, portfolio optimization, applied contingent-claims analysis, Altman’s-Z, Monte-Carlo methods and applied econometric models. In addition, the course will also cover recent advances in artificial neural networks and machine learning tools applied to forecasting financial time-series and corporate default as well as Block-Chain analytics."
Analytics Strategy & Change,"This course covers the role strategy development and change management play in successfully capitalizing on the promise of Analytics. Delivered towards the end of the program, the course provides students with the opportunity to synthesize their learnings and understand what to change and how to do it. The course integrates 2 complementary aspects of driving organizational success through analytics – what to do (the strategy piece) and how to make it happen (the change management piece). The course covers the entire spectrum of enterprise strategic and cultural transformation, including functional level changes in strategy (e.g. marketing, finance) through to enterprise/corporate level changes to strategy and culture. The course also touches on strategy and change as they relate to intra- and entrepreneurial endeavors. Specific topics covered include:  How to set strategy via an agile strategic planning process Creating and implementing a strategic plan (for an existing enterprise or function) Creating a Business Model Canvas (for an entrepreneurial venture) Implementation essentials (link to project leadership course) Organizing for innovation (intrapreneurship) Defining and creating a culture of analytics Leading and managing cultural change (organizational and individual level change management)"
Big Data Analytics,"The course will still cover big data architectures, the Hadoop ecosystem (especially Spark), NoSQL databases, and a sampling of powerful applications of big data analytics, including recommender systems and social network analytics. New concepts will include additional applications of big data analytics, including text and unstructured analytics, such as sentiment analysis, document clustering, and document classification."
Creating High-Performance Teams,"Creating, leading or contributing to a high-performance team are critical skills for managers today. This introductory module helps you build an understanding of the key elements of a high-performance team, and what leads to team effectiveness. During the module, students are led through a set of practical sessions that reveal a five-step process for building high-performance teams. The knowledge gained and the skill set developed are immediately transferable to the work place."
Entrepreneurship & Innovation,"This course introduces students to entrepreneurship and innovation, designed to embed a much greater appreciation for the role of entrepreneurial thinking and know-how in the minds of all students, regardless of current or desired role in business – start-up or corporate innovation. The course will provide a unique opportunity for students to immerse themselves in what it means to be entrepreneurial, and in the entire new venture context. Students will finish the course with the following:  Ideation techniques such as Design Thinking The ability to differentiate, using a systematic and thorough approach, between an idea and a true business opportunity, the ability to assess an analytics-based new business venture or corporate innovation The ability to understand what strategies and resources are required and available to translate a viable opportunity into a real business The ability to 'pitch' a business opportunity in order to gain whatever resources are necessary to execute on the opportunity presented An appreciation for various types of analytics based new ventures and innovations"
Introduction to Analytic Modelling,"The course will establish a foundation of statistical modelling techniques to be immediately useful for analysis and to provide a foundation for more advanced material studied throughout the program. Topics will include data types, random numbers, probability models, hypothesis testing and statistical inference, and a thorough grounding in simple and multiple regression. The course is designed to ensure that all students, regardless of background or experience, are proficient in the use and application of a variety of statistical methods."
Introduction to Management,"This course introduces the main functional areas of business, including strategy, marketing, operations and finance, and demonstrates how these areas interact to produce and market products and/or services effectively and efficiently. It provides an overview of the modern corporate enterprise in Canadian and international contexts, and of the tasks, practices, and responsibilities of its managers, and is designed to ensure all students, regardless of background or experience, are equipped to understand analytics in the context of business and management."
